dataset,accuracy_train,accuracy_val,accuracy_test,params,error,epochs,generations,hidden_size,batch_size,simulation_set_size,simulation_time,simulation_epochs,simulation_scheduler_type,ACTIVATION_FUN,convolution,learning_rate,optimization_factor,augmentation_mode,SAFE_word_length,SAFE_ALPHABET_SIZE,SAFE_embedding_dim,TRAIN_VAL_SPLIT_FRACTION,STOPPER_TARGET_ACCURACY,SAFE_embedding_epochs,SAFE_embedding_method,SAFE_window_size,SAFE_window_overlap_fraction,SAFE_stride,SAFE_fasttext_max_ngram,SAFE_doc2vec_dm
BeetleFly,1.0,0.9230769230769232,0.6,261120.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,200,ppmi_svd,2,0.25,4,,0
BirdChicken,1.0,0.9230769230769232,0.65,175104.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,10,fasttext,5,0.0,6,4.0,0
Coffee,1.0,1.0,0.9285714285714286,195584.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,40,fasttext,3,0.25,3,4.0,0
Computers,0.9659090909090908,0.7592592592592593,0.676,293888.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,50,word2vec,7,0.1,5,,0
DiatomSizeReduction,1.0,1.0,0.7745098039215687,804864.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,30,fasttext,6,0.1,7,4.0,0
DistalPhalanxOutlineAgeGroup,0.9785714285714284,0.8384615384615385,0.6618705035971223,1295872.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,10,word2vec,3,0.5,1,,0
DistalPhalanxTW,0.8571428571428571,0.7961538461538461,0.6474820143884892,1660.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,30,fasttext,1,0.1,1,4.0,0
Earthquakes,0.8230088495575221,0.8181818181818182,0.7482014388489209,1545.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,10,word2vec,1,0.0,6,,0
ECG5000,1.0,0.9476923076923076,0.916,379392.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,40,fasttext,4,0.0,6,4.0,0
GunPoint,0.9444444444444444,1.0,0.7733333333333333,152576.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,20,fasttext,4,0.5,2,4.0,0
MiddlePhalanxOutlineAgeGroup,0.95,0.8,0.5,8313.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,10,word2vec,5,0.0,2,,0
MiddlePhalanxOutlineCorrect,0.6476190476190476,0.6461538461538462,0.570446735395189,1926.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,10,word2vec,1,0.0,4,,0
OliveOil,1.0,0.9,0.8333333333333334,250880.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,40,word2vec,5,0.1,7,,0
Plane,0.972972972972973,0.9558823529411764,0.923809523809524,593408.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,10,fasttext,1,0.0,4,4.0,0
Strawberry,0.9906976744186048,0.9396984924623116,0.9243243243243244,476160.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,40,fasttext,4,0.0,8,4.0,0
ToeSegmentation2,1.0,0.782608695652174,0.7538461538461538,234496.0,,200,8,512,X,100,60,10,progress_check,Sigmoid,False,X,1.0,none,X,X,X,0.65,0.94,10,word2vec,5,0.1,3,,0
